,Movie,Production Budget,Domestic Gross,Worldwide Gross
2749,MILE 22 (2018),35000000.0,36108758.0,66295121.0
2750,MILK (2008),20000000.0,31841299.0,57293371.0
2751,MILLION DOLLAR ARM (2014),25000000.0,36447959.0,39217912.0
2752,MILLION DOLLAR BABY (2004),30000000.0,100492203.0,231928227.0
2753,MINARI (2020),2000000.0,2964816.0,15474659.0
2754,MINDHUNTERS (2005),27000000.0,4476235.0,16566235.0
2755,MINIONS (2015),74000000.0,336045770.0,1157271759.0
2756,MINIONS THE RISE OF GRU (2022),80000000.0,369225600.0,936019120.0
2757,MINORITY REPORT (2002),102000000.0,132024714.0,358824714.0
2758,MIRACLE (2004),28000000.0,64378093.0,64474705.0
2759,MIRACLE AT ST ANNA (2008),45000000.0,7916887.0,9676497.0
2760,MIRACLES FROM HEAVEN (2016),13000000.0,61705123.0,73773317.0
2761,MIRROR MIRROR (2012),85000000.0,64935167.0,173613482.0
2762,MIRRORMASK (2005),4000000.0,864959.0,973613.0
2763,MIRRORS (2008),35000000.0,30691439.0,77220596.0
2764,MISS BALA (2019),15000000.0,14998027.0,15364632.0
2765,MISS CONGENIALITY (2000),45000000.0,106807667.0,213420951.0
2766,MISS CONGENIALITY 2 ARMED AND FABULOUS (2005),60000000.0,48478006.0,101292343.0
2767,MISS MARCH (2009),6000000.0,4543320.0,4713059.0
2768,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN (2016),110000000.0,87242834.0,295986876.0
2769,MISS POTTER (2006),30000000.0,3005605.0,35891257.0
2770,MISS SLOANE (2016),18000000.0,3500605.0,7768259.0
2771,MISSION IMPOSSIBLE (1996),80000000.0,180981886.0,457697994.0
2772,MISSION IMPOSSIBLE 2 (2000),120000000.0,215409889.0,549588516.0
2773,MISSION IMPOSSIBLE FALLOUT (2018),178000000.0,220159104.0,787176729.0
2774,MISSION IMPOSSIBLE GHOST PROTOCOL (2011),145000000.0,209397903.0,694713230.0
2775,MISSION IMPOSSIBLE III (2006),150000000.0,133501348.0,399387745.0
2776,MISSION IMPOSSIBLE ROGUE NATION (2015),150000000.0,195042377.0,688858992.0
2777,MISSION TO MARS (2000),90000000.0,60874615.0,106000000.0
2778,MISSISSIPPI MERMAID (1969),1600000.0,27795.0,2627795.0
2779,MO' BETTER BLUES (1990),10000000.0,16153000.0,16153000.0
2780,MOANA (2016),150000000.0,248757044.0,631499621.0
2781,MOARTEA DOMNULUI LAZARESCU (2006),425000.0,80301.0,581304.0
2782,MOBY DICK (1956),4500000.0,10400000.0,10412402.0
2783,MODERN PROBLEMS (1981),8000000.0,24474312.0,24474312.0
2784,MODERN TIMES (1936),1500000.0,163245.0,229549.0
2785,MOLIERE (2007),21600000.0,635733.0,791154.0
2786,MOLLY (1999),21000000.0,17396.0,17396.0
2787,MOLLY'S GAME (2017),30000000.0,28780744.0,53296424.0
2788,MOMMIE DEAREST (1981),5000000.0,19032000.0,25032000.0
2789,MOMMY (2014),4900000.0,3498695.0,17536004.0
2790,MOMS' NIGHT OUT (2014),5000000.0,10429707.0,10537341.0
2791,MONA LISA SMILE (2003),65000000.0,63803100.0,141205169.0
2792,MONDAYS IN THE SUN (2003),4000000.0,146402.0,146402.0
2793,MONEY MONSTER (2016),27000000.0,41012075.0,93466095.0
2794,MONEY TALKS (1997),25000000.0,41076865.0,41076865.0
2795,MONEY TRAIN (1995),68000000.0,35324232.0,77224232.0
2796,MONEYBALL (2011),50000000.0,75605492.0,111300835.0
2797,MONGOL (2008),18000000.0,5705761.0,27147349.0
2798,MONKEYBONE (2001),75000000.0,5409517.0,5409517.0
2799,MONONOKE HIME (1999),20000000.0,2374107.0,150345863.0
2800,MONOS (2019),2000000.0,406473.0,2013217.0
2801,MONSOON WEDDING (2002),1200000.0,13876974.0,27025600.0
2802,MONSTER (2003),5000000.0,34469210.0,64200321.0
2803,MONSTER HOUSE (2006),75000000.0,73661010.0,141267370.0
2804,MONSTER HUNTER (2020),60000000.0,15162470.0,44453937.0
2805,MONSTER IN LAW (2005),45000000.0,82931301.0,155931301.0
2806,MONSTER TRUCKS (2016),125000000.0,33370166.0,61642798.0
2807,MONSTER'S BALL (2001),4000000.0,31273922.0,43766463.0
2808,MONSTERS (2010),500000.0,237301.0,5639730.0
2809,MONSTERS INC (2001),115000000.0,290149425.0,560483719.0
2810,MONSTERS UNIVERSITY (2013),200000000.0,268488329.0,743455810.0
2811,MONSTERS VS ALIENS (2009),175000000.0,198351526.0,381687380.0
2812,MONTE CARLO (2011),20000000.0,23186769.0,39686769.0
2813,MONTY PYTHON AND THE HOLY GRAIL (1975),400000.0,3427696.0,5028948.0
2814,MOON (2009),5000000.0,5010163.0,10676073.0
2815,MOONFALL (2022),150000000.0,19060660.0,59053195.0
2816,MOONLIGHT (2016),1500000.0,27854931.0,64947938.0
2817,MOONLIGHT MILE (2002),21000000.0,6830957.0,6830957.0
2818,MOONRAKER (1979),31000000.0,70300000.0,210300000.0
